"site","id","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log","data","date","data_type"
"CCSP","3259","PERO","F",1.267171728,"A",0,0,NA,0,NA,NA,NA,1,1,1,1,1,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0.693147180559945,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3259","PERO","F",1.267171728,"A",0,0,NA,0,NA,NA,NA,1,1,1,1,1,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0.693147180559945,13.9700002670288,"2018-04-01","tmean"
"CCSP","3263","NEFU","M",2.544068044,"A",0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,84.8209991455078,"2018-04-01","ppt"
"CCSP","3263","NEFU","M",2.544068044,"A",0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3263","NEFU","M",2.544068044,"A",0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,13.9700002670288,"2018-04-01","tmean"
"CCSP","3272","NEFU","M",2.495544338,"A",0,0,NA,0,0,0,0,1,19,1,1,19,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,2.99573227355399,84.8209991455078,"2018-04-01","ppt"
"CCSP","3272","NEFU","M",2.495544338,"A",0,0,NA,0,0,0,0,1,19,1,1,19,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,2.99573227355399,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3272","NEFU","M",2.495544338,"A",0,0,NA,0,0,0,0,1,19,1,1,19,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,2.99573227355399,13.9700002670288,"2018-04-01","tmean"
"CCSP","3273","NEFU","M",1.243038049,"A",0,0,NA,0,NA,NA,NA,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.09861228866811,84.8209991455078,"2018-04-01","ppt"
"CCSP","3273","NEFU","M",1.243038049,"A",0,0,NA,0,NA,NA,NA,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.09861228866811,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3273","NEFU","M",1.243038049,"A",0,0,NA,0,NA,NA,NA,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.09861228866811,13.9700002670288,"2018-04-01","tmean"
"CCSP","A13","PERO","M",1.164352856,"A",0,0,NA,0,0,0,0,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,0,84.8209991455078,"2018-04-01","ppt"
"CCSP","A13","PERO","M",1.164352856,"A",0,0,NA,0,0,0,0,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,0,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","A13","PERO","M",1.164352856,"A",0,0,NA,0,0,0,0,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,0,13.9700002670288,"2018-04-01","tmean"
"CCSP","A14","NEFU","F",1.240549248,"A",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,84.8209991455078,"2018-04-01","ppt"
