"site","id","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log"
"JSCP","S797","NEFU","F",2.509202522,"A",0,0,0,0,1,7,1,0,0,0,1,7,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,2.07944154167984,0
"JSCP","S802","PERO","M",1.414973348,"A",0,0,0,0,NA,NA,NA,1,2,1,1,2,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,1.09861228866811
"JSCP","S808","PERO","F",1.397940009,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0
"JSCP","S821","NEFU","F",2.456366033,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0
"JSCP","S951","PERO","F",1.380211242,"A",0,0,0,0,1,1,1,0,0,0,1,1,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0.693147180559945,0
"JSCP","S997","PERO","M",1.40654018,"A",0,0,0,0,NA,NA,NA,1,1,1,1,1,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0.693147180559945
"WDLP","2326","PERO","F",1.643452676,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","2370","PERO","M",1.653212514,"A",NA,0,NA,0,0,0,0,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,0,0
"WDLP","2352/2353","NEFU","F",2.376576957,"A",NA,0,NA,0,0,0,0,1,2,1,1,2,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,0,1.09861228866811
"WDLP","A183","PERO","M",1.361727836,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","A184","PERO","M",1.397940009,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","A185","PERO","M",1.414973348,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","A251","PERO","F",1.72427587,"A",NA,0,NA,0,NA,NA,NA,1,1,1,1,1,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0.693147180559945
"WDLP","A252","NEFU","M",2.610660163,"A",NA,NA,NA,NA,0,0,0,1,1,1,1,1,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,0,0.693147180559945
"WDLP","A253","PERO","F",1.255272505,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","A257","PERO","F",1.176091259,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","A258","NEFU","F",2.553883027,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","A259","NEFU","F",2.478566496,"A",NA,1,NA,1,0,0,0,1,3,1,2,3,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,0,1.38629436111989
"WDLP","A260","PERO","M",1.301029996,"A",NA,NA,NA,NA,0,0,0,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,0,0
"WDLP","A261","PERO","M",1.361727836,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","A262","NEFU","F",2.432969291,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","A263","PERO","M",1.322219295,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","A264","PERO","M",1.414973348,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","A266","NEFU","F",2.475671188,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","A281","NEFU","F",2.408239965,"A",NA,0,NA,0,NA,NA,NA,1,1,1,1,1,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0.693147180559945
"WDLP","A282","PERO","F",1.322219295,"A",NA,0,NA,0,1,1,1,0,0,0,1,1,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,0.693147180559945,0
"WDLP","A826","PERO","M",1.397940009,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","A827","PERO","M",1.342422681,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0
"WDLP","S720/2371","NEFU","F",2.485721426,"A",NA,1,NA,1,1,6,1,1,1,1,3,7,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,1.94591014905531,0.693147180559945
"WDLP","S980","PERO","F",1.397940009,"A",NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,NA
"WDLP","S986","NEFU","M",2.536558443,"A",NA,0,NA,0,NA,NA,NA,1,1,1,1,1,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0.693147180559945
"HOS","2801","PERO","F",1.498310554,"A",0,0,0,0,NA,NA,NA,1,6,2,2,6,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,1.94591014905531
"HOS","2817","NEFU","F",2.389166084,"A",0,1,0,1,1,8,1,0,0,0,2,8,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,2.19722457733622,0
"HOS","2826","NEFU","F",2.352182518,"A",0,1,0,1,1,10,1,1,3,1,3,13,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,2.39789527279837,1.38629436111989
"HOS","2829","NEFU","F",2.475671188,"A",NA,1,0,1,NA,NA,NA,1,7,1,2,7,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,2.07944154167984
"HOS","2831","NEFU","M",2.568201724,"A",0,1,0,1,1,6,1,1,12,1,3,18,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,1.94591014905531,2.56494935746154
"HOS","2836","NEFU","M",2.580354661,"A",NA,1,0,1,NA,NA,NA,1,9,2,3,9,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,2.30258509299405
"HOS","3216","PERO","M",1.44870632,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,0
"HOS","3225","NEFU","F",2.178976947,"A",NA,0,0,0,NA,NA,NA,0,0,0,0,0,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,0
"HOS","3267","PERO","M",1.431363764,"A",NA,0,0,0,NA,NA,NA,1,2,2,2,2,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,1.09861228866811
"HOS","3279","PERO","F",1.698970004,"A",0,0,0,0,NA,NA,NA,1,2,1,1,2,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,1.09861228866811
"HOS","3280","PERO","F",1.371067862,"A",1,0,0,1,0,0,0,1,2,1,2,2,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,0,1.09861228866811
"HOS","3281","NEFU","M",2.491361694,"A",NA,0,0,0,1,1,1,1,10,2,3,11,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,0.693147180559945,2.39789527279837
"HOS","3284","PERO","F",1.45484486,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,0
"HOS","3285","NEFU","F",2.437750563,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,0
"HOS","3288","NEFU","F",2.23299611,"A",NA,0,0,0,NA,NA,NA,1,1,1,1,1,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,0.693147180559945
"HOS","3290","NEFU","M",2.243038049,"A",NA,0,0,0,NA,NA,NA,1,3,1,1,3,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,1.38629436111989
"HOS","3291","NEFU","M",2.146128036,"J",0,0,0,0,NA,NA,NA,1,6,2,2,6,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,1.94591014905531
"HOS","3294","PERO","M",1.322219295,"A",1,0,0,1,0,0,0,1,1,1,2,1,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,0,0.693147180559945
"HOS","3295","PERO","M",1.740362689,"A",1,0,0,1,0,0,0,1,1,1,2,1,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,0,0.693147180559945
"HOS","A25","NEFU","F",2.378397901,"A",0,1,1,1,1,3,1,1,2,1,3,5,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,1.38629436111989,1.09861228866811
"HOS","A321","PERO","M",NA,"A",0,0,0,0,0,0,0,1,5,1,1,5,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,0,1.79175946922805
"HOS","A323","PERO","M",1.423245874,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-0.4050289,0.4977829,0.7130846,-0.03533295,-0.1460686,-0.04398562,NA,0
